id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:tree canopy symptoms,field:optional - did the tree have heat damage,field:percent canopy affected (%),field:dieback percent,field:number of additional unhealthy trees (of same species) in area (within sight),field:percent of trees (of same species) within sight that are unhealthy,"field:other factors - are there signs or symptoms of insect, diseases, or other damage?",field:optional - what 'other factors' were observed?,field:optional - tree size,field:optional - site type,field:optional - site/location description,field:optional - site/area disturbance level,field:optional - site hydrology,field:optional - access to water,field:optional - slope position,field:optional - were there any other unhealthy plant species on the site?,field:optional - timing of symptoms estimate,field:optional - estimated time spent to make this observation (# of minutes),field:optional - can we follow up with you?,field:tree number (from google map) if applicable,field:notes
117393444,2022-05-16,2022-05-16,,Pacific Time (US & Canada),5684969,rachelvs,,2022-05-17 01:25:37 UTC,2022-06-03 18:13:44 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/117393444,https://inaturalist-open-data.s3.amazonaws.com/photos/198643756/medium.jpeg,,"","",1,0,false,,"San Juan County, US-WA, US",48.600746,-123.152599,174,,,,174,,open,false,,,,San Juan,Washington,United States,Washington,San Juan,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No selection,"Healthy, no dieback(0%)",,0,,Not sure,No selection,No selection,No Selection,No Selection,No Selection,No Selection,No selection,No selection,No selection,No selection,,No Selection,,
117396857,2022-05-16,2022-05-16,,Pacific Time (US & Canada),5685996,haleyburgessalm,,2022-05-17 01:58:57 UTC,2022-05-17 02:00:50 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/117396857,,,"","",0,0,false,,Ravenna park,47.668731,-122.303724,14,,,,14,,open,false,,,,King,Washington,United States,Washington,King,Western Redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No,"Healthy, no dieback(0%)",,0,0,No,No selection,No selection,No Selection,No Selection,No Selection,No Selection,No selection,No selection,No selection,No selection,,No Selection,,
117400290,2022-05-16,2022-05-16,,Pacific Time (US & Canada),5687135,hlee24,,2022-05-17 02:32:00 UTC,2022-05-17 02:37:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/117400290,https://inaturalist-open-data.s3.amazonaws.com/photos/198266520/medium.jpeg,,"","",1,0,false,,Denny Yard,47.659101,-122.308602,190,,,,190,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,Not Sure,1-29% of the canopy is unhealthy,,0,,No,No selection,No selection,No Selection,No Selection,No Selection,No Selection,No selection,No selection,No selection,No selection,,No Selection,,
117484722,Tue May 17 2022 11:38:42 GMT-0700 (PDT),2022-05-17,2022-05-17 18:38:42 UTC,Pacific Time (US & Canada),5193672,annenewcomb,,2022-05-17 18:42:57 UTC,2022-05-25 20:47:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/117484722,https://inaturalist-open-data.s3.amazonaws.com/photos/198416360/medium.jpg,,"","",1,0,false,3,"Tradition Plateau Nrca, Issaquah, WA, US",47.5312299421,-122.0155067929,5,,,,5,,open,false,,,Issaquah City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Tree is dead,Not Sure,tree is dead,,7-10,.5,Not sure,No selection,No selection,No Selection,No Selection,No Selection,No Selection,No selection,No selection,No selection,No selection,"",No Selection,,""
117495884,2022-05-17,2022-05-17,,Pacific Time (US & Canada),5686297,rachelagnew,Rachel Agnew,2022-05-17 20:10:36 UTC,2022-05-25 20:47:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/117495884,https://inaturalist-open-data.s3.amazonaws.com/photos/198436888/medium.jpeg,,"","",2,0,false,,"King County, US-WA, US",47.65244,-122.307758,22,,,,22,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No selection,"Healthy, no dieback(0%)",,0,,Not sure,No selection,No selection,No Selection,No Selection,No Selection,No Selection,No selection,No selection,No selection,No selection,,No Selection,,
117517305,2022-05-14 14:08:46-07:00,2022-05-14,2022-05-14 21:08:46 UTC,Pacific Time (US & Canada),5667440,dnc,,2022-05-17 23:00:53 UTC,2023-02-22 06:37:06 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/117517305,https://inaturalist-open-data.s3.amazonaws.com/photos/198476950/medium.jpg,,"","",0,0,true,3,"45th St SW, Everett, WA, US",47.959595,-122.2339966667,269,,,,269,,,false,,,,Snohomish,Washington,United States,Washington,Snohomish,"",Cupressoideae,"Cypresses, Cedars, Junipers, and Allies",Plantae,1150915,Thinning Canopy,No selection,30-59% of the canopy is unhealthy,,0,0,Not sure,Evidence of soil compaction,Large (too big to wrap arms around trunk),Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,No selection,No selection,No,Not sure,5,Yes,,""
117522586,2022-05-17 16:07:38,2022-05-17,2022-05-17 23:07:38 UTC,Pacific Time (US & Canada),3262897,whiteaeros,Whiteaeros,2022-05-17 23:42:33 UTC,2022-05-24 01:17:54 UTC,research,,https://www.inaturalist.org/observations/117522586,https://static.inaturalist.org/photos/198486455/medium.jpeg,,"",Healthy 1.5ft dia. ,1,0,false,2,"Benewah County, US-ID, US",47.1245709497,-116.6174342483,39,,,,39,,open,false,,,,Benewah,Idaho,United States,Idaho,Benewah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No,"Healthy, no dieback(0%)",,0,740,No,No selection,Medium (can wrap arms around trunk),Rural,Forest edge,"Medium (moderately used trails, etc)",Seasonally flooded area,Tree may have occassional access to water in summer (watered by someone),Riverbank,Yes (please identify other species in notes),No selection,15,Yes,,most 98% of the cedars in this area are healthy.  unhealthy trees are spruce and white fir.
117522943,2022-05-17 16:21:21,2022-05-17,2022-05-17 23:21:21 UTC,Pacific Time (US & Canada),3262897,whiteaeros,Whiteaeros,2022-05-17 23:44:49 UTC,2022-07-31 13:28:57 UTC,research,,https://www.inaturalist.org/observations/117522943,https://static.inaturalist.org/photos/198486971/medium.jpeg,,"","Mostly healthy 1-5% flagging. 10in w/ 2 3in saplings

The picture shows what appears to be a dead top in this tree. HOWEVER, this is a dead white fir a foot or 2 behind the cedars.",1,0,false,2,"Benewah County, US-ID, US",47.12405034,-116.61229998,51,,,,51,,open,false,,,,Benewah,Idaho,United States,Idaho,Benewah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Branch Dieback or 'Flagging',No,1-29% of the canopy is unhealthy,,1,20,No,No selection,Medium (can wrap arms around trunk),Rural,Roadside,"Medium (moderately used trails, etc)",Upland or well drained,Tree does not typically have access to water in summer,No selection,No selection,No selection,10,Yes,,"this tree was mostly healthy. 2 saplings of 3"" are healthy"
117528484,2022-05-17,2022-05-17,,Pacific Time (US & Canada),5685851,natv,,2022-05-18 00:35:54 UTC,2022-05-25 22:40:35 UTC,research,,https://www.inaturalist.org/observations/117528484,https://static.inaturalist.org/photos/198497513/medium.jpeg,,"","",2,0,false,,"Klickitat Ln, Seattle, WA",47.659884,-122.307289,184,,,,184,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,Not Sure,"Healthy, no dieback(0%)",,0,0,Not sure,No selection,No selection,No Selection,No Selection,No Selection,No Selection,No selection,No selection,No selection,No selection,,No Thanks,,
117694372,2022-05-18 12:29:42,2022-05-18,2022-05-18 19:29:42 UTC,Pacific Time (US & Canada),5697155,dainghia,Dainghia Tran,2022-05-19 05:49:35 UTC,2022-05-25 20:47:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/117694372,https://inaturalist-open-data.s3.amazonaws.com/photos/198795336/medium.jpg,,"","",2,0,false,,"King County, US-WA, US",47.6912388889,-122.3026277778,,,,,,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No selection,"Healthy, no dieback(0%)",,0,,Not sure,No selection,No selection,No Selection,No Selection,No Selection,No Selection,No selection,No selection,No selection,No selection,,No Selection,,
117874866,2022-05-20 08:13:09,2022-05-20,2022-05-20 15:13:09 UTC,Pacific Time (US & Canada),2785976,alexis_mushroom,Alexis Evans,2022-05-20 15:40:49 UTC,2022-06-04 04:13:43 UTC,research,,https://www.inaturalist.org/observations/117874866,https://static.inaturalist.org/photos/199107875/medium.jpeg,,"",,1,0,false,2,"Metzger, OR, USA",45.4089305556,-122.7899583333,,,,,,,open,false,gps,gps,,Washington,Oregon,United States,Oregon,Washington,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Thinning Canopy,No,30-59% of the canopy is unhealthy,,0,,No,,,,,,,,,,,,,,"Thin at top, but base of the tree fairly healthy"
117922354,Cedar,,,Pacific Time (US & Canada),5686834,tran_nguyen,Tran Nguyen,2022-05-20 21:53:49 UTC,2023-02-17 18:55:44 UTC,casual,,https://www.inaturalist.org/observations/117922354,https://static.inaturalist.org/photos/199190128/medium.png,,"","",0,0,false,,lake steilacom,47.16446,-122.537897,1654,,,,1654,,,false,,,,Pierce,Washington,United States,Washington,Pierce,,,,,,Healthy,No selection,"Healthy, no dieback(0%)",,0,,Not sure,No selection,No selection,No Selection,No Selection,No Selection,No Selection,No selection,No selection,No selection,No selection,,No Selection,,
117928934,2022-05-20,2022-05-20,,Pacific Time (US & Canada),5692251,finn150,Finn Johnson,2022-05-20 22:52:04 UTC,2022-12-08 02:21:56 UTC,casual,,https://www.inaturalist.org/observations/117928934,https://static.inaturalist.org/photos/199201836/medium.jpg,,"","The tree is very wide at the base, and covered with ivy for the first 10 feet. The ivy continues up the trunk for about  30 feet. The tree is planted between two properties, so I'm not sure if it is cultivated or not.",3,1,true,,"4219 5th Ave NE Seattle, WA, 98105",47.657645,-122.32322,89,,,,89,,open,false,,,,King,Washington,United States,Washington,King,coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372,Healthy,Not Sure,"Healthy, no dieback(0%)",,0,,Not sure,Invasive plants present or growing on tree,Very Large (would take many people to wrap arms around trunk),Urban,Roadside,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Upland or well drained,Tree does not typically have access to water in summer,Middle of a slope,Not sure,This is the first time I have seen this tree,5,Yes,,
118135613,2022-03-31 15:20:19,2022-03-31,2022-03-31 22:20:19 UTC,Pacific Time (US & Canada),5711215,jsliao,,2022-05-22 07:09:03 UTC,2022-05-25 20:47:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/118135613,https://inaturalist-open-data.s3.amazonaws.com/photos/199568831/medium.jpg,,"","",1,0,false,,washington park arboretum,47.639393,-122.295159,5,,,,5,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No selection,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Large (too big to wrap arms around trunk),Suburban,Urban yard or open park grounds,"None - natural forest, far from development",Upland or well drained,Tree has access to water year round (watered in summer or near permanent water source),Area is flat (e.g. field),No,No selection,,No Selection,,
118290012,2022-05-22 12:50:33-07:00,2022-05-22,2022-05-22 19:50:33 UTC,America/Vancouver,3765174,bcrobyn,Robyn Hanson,2022-05-22 23:44:05 UTC,2022-06-24 17:44:14 UTC,research,,https://www.inaturalist.org/observations/118290012,https://static.inaturalist.org/photos/199838313/medium.jpg,,"","",1,0,false,3,"Sunshine Coast, BC, CA",49.499255,-123.87207,10,,,,10,,open,false,,,,Sunshine Coast,British Columbia,Canada,British Columbia,Sunshine Coast,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No,"Healthy, no dieback(0%)",,0,0,Not sure,No selection,Large (too big to wrap arms around trunk),Rural,Inside a forest canopy,"None - natural forest, far from development",No Selection,No selection,No selection,No selection,No selection,"",No Selection,,""
118412760,2022-05-20,2022-05-20,,Pacific Time (US & Canada),2713504,s_green,,2022-05-23 19:25:55 UTC,2022-05-25 20:47:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/118412760,https://inaturalist-open-data.s3.amazonaws.com/photos/200061569/medium.jpg,,"","",1,0,false,,Hansee Hall,47.661166,-122.307175,,,,,,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No,"Healthy, no dieback(0%)",,0,0,No,No selection,Medium (can wrap arms around trunk),Urban,Roadside,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,No selection,Top of slope,No,No selection,1,Yes,,
118420310,2022-05-22 12:27:18-07:00,2022-05-22,2022-05-22 19:27:18 UTC,Pacific Time (US & Canada),3898930,michael_james_burkhow,Michael James Burkhow,2022-05-23 20:15:41 UTC,2022-05-25 20:47:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/118420310,https://inaturalist-open-data.s3.amazonaws.com/photos/200074312/medium.jpg,,"",Many healthy in this area,1,0,false,3,"The Mount Baker-Snoqualmie National Forest, North Bend, WA, US",47.4011466667,-121.51857,4,,,,4,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No selection,"Healthy, no dieback(0%)",,0,"",Not sure,No selection,No selection,No Selection,No Selection,No Selection,No Selection,No selection,No selection,No selection,No selection,"",No Selection,,""
118443273,2022-05-18,2022-05-18,,Pacific Time (US & Canada),5719629,rubyward,,2022-05-23 23:08:43 UTC,2023-12-08 03:30:52 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/118443273,https://inaturalist-open-data.s3.amazonaws.com/photos/200115394/medium.png,,"","",1,0,false,,"King County, US-WA, US",47.656108,-122.306071,22,,,,22,,open,false,,,,King,Washington,United States,Washington,King,pine family,Pseudotsuga menziesii,common Douglas-fir,Plantae,48256,Healthy,No,"Healthy, no dieback(0%)",,1,0,No,Evidence of soil compaction,Large (too big to wrap arms around trunk),Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Seasonally flooded area,Tree may have occassional access to water in summer (watered by someone),Lower slope,No,Symptoms first observed in 2021,5,No Thanks,,
118563301,2022-05-22 12:17:47,2022-05-22,2022-05-22 19:17:47 UTC,America/Vancouver,1441569,ryansenechal,Ryan Senechal,2022-05-24 20:29:53 UTC,2024-01-12 01:12:37 UTC,research,,https://www.inaturalist.org/observations/118563301,https://static.inaturalist.org/photos/200333440/medium.jpeg,,"",,1,0,false,2,"Victoria, BC V8X 2B5, Canada",48.4859719722,-123.3470839722,,,,,,,open,false,,,"Saanich, British Columbia",Capital,British Columbia,Canada,British Columbia,Capital,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Tree is dead,Not Sure,tree is dead,,2-3,50,"Yes (please elaborate in Notes, add Picture if possible)",No selection,Medium (can wrap arms around trunk),No Selection,Inside a forest canopy,"Low - fairly natural, not much development",No Selection,Tree may have occassional access to water in summer (watered by someone),No selection,No selection,No selection,,Yes,,Adjacent trees thinning crowns >50%
118811479,2022-05-25,2022-05-25,,Pacific Time (US & Canada),5692314,gerardovallejo0202,,2022-05-26 17:49:05 UTC,2022-06-02 18:00:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/118811479,https://inaturalist-open-data.s3.amazonaws.com/photos/200779355/medium.png,,"","-The tree has its branches cut off at the bottom probably for safety reasons
-The tree is very tall so I would assume it was already there and the buildings were built before the tree",1,0,false,,University of Washington Seattle,47.656441,-122.308201,11,,,,11,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No selection,"Healthy, no dieback(0%)",,0,1,Not sure,No selection,No selection,No Selection,No Selection,No Selection,No Selection,No selection,No selection,No selection,No selection,,No Selection,,
118819638,2022-05-26 11:50:15-07:00,2022-05-26,2022-05-26 18:50:15 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2022-05-26 18:51:49 UTC,2022-05-31 18:59:36 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/118819638,https://inaturalist-open-data.s3.amazonaws.com/photos/201098841/medium.jpg,,"","",1,0,false,3,"Washington State University - Puyallup Research & Extension Center, Puyallup, WA, US",47.1906397953,-122.3287020977,8,,,,8,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No,"Healthy, no dieback(0%)",,0,"",No,No selection,No selection,No Selection,No Selection,No Selection,No Selection,No selection,No selection,No selection,No selection,"",No Selection,,""
118964842,2022-05-27 13:08:03,2022-05-27,2022-05-27 20:08:03 UTC,Pacific Time (US & Canada),4300487,d_farmer,,2022-05-27 20:16:07 UTC,2022-05-31 19:13:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/118964842,https://inaturalist-open-data.s3.amazonaws.com/photos/201093932/medium.jpeg,,"",Hoyt Accession #2,1,0,false,2,"Arlington Heights, Portland, OR, USA",45.51663365,-122.71434905,9,,,,9,,open,false,,,Portland,Multnomah,Oregon,United States,Oregon,Multnomah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No,"Healthy, no dieback(0%)",,0,5,"Yes (please elaborate in Notes, add Picture if possible)",Invasive plants present or growing on tree,Large (too big to wrap arms around trunk),Rural,Forest edge,"Medium (moderately used trails, etc)",Upland or well drained,Tree has access to water year round (watered in summer or near permanent water source),Middle of a slope,No,No selection,15,Yes,,English Ivy has begun to spread from last year.  overall very healthy
118984524,2022-05-27 13:31:02,2022-05-27,2022-05-27 20:31:02 UTC,Pacific Time (US & Canada),4300487,d_farmer,,2022-05-27 23:04:46 UTC,2022-05-31 19:13:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/118984524,https://inaturalist-open-data.s3.amazonaws.com/photos/201094080/medium.jpeg,,"",Hoyt Accession #9,1,0,false,2,"SW Fairview & Wildwood Trail, Portland, OR 97205, USA",45.51699995,-122.71771973,16,,,,16,,open,false,,,Portland,Multnomah,Oregon,United States,Oregon,Multnomah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No,"Healthy, no dieback(0%)",,0,5,No,No selection,Large (too big to wrap arms around trunk),Rural,Forest edge,"Medium (moderately used trails, etc)",Upland or well drained,Tree does not typically have access to water in summer,Middle of a slope,No,No selection,15,Yes,,"same as #8, although less dead lower branches"
118984857,2022-05-27 13:40:31,2022-05-27,2022-05-27 20:40:31 UTC,Pacific Time (US & Canada),4300487,d_farmer,,2022-05-27 23:08:32 UTC,2022-05-31 19:14:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/118984857,https://inaturalist-open-data.s3.amazonaws.com/photos/201094930/medium.jpeg,,"",Hoyt Accession #8,1,0,false,2,"Arlington Heights, Portland, OR, USA",45.51693274,-122.71809886,8,,,,8,,open,false,,,Portland,Multnomah,Oregon,United States,Oregon,Multnomah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No,"Healthy, no dieback(0%)",,0,5,No,No selection,Large (too big to wrap arms around trunk),No Selection,Forest edge,"Medium (moderately used trails, etc)",Upland or well drained,Tree does not typically have access to water in summer,Middle of a slope,No,No selection,15,Yes,,some dead lower branches in deep shade but Crow looks great
118984935,2022-05-27 13:52:23,2022-05-27,2022-05-27 20:52:23 UTC,Pacific Time (US & Canada),4300487,d_farmer,,2022-05-27 23:09:32 UTC,2022-05-31 19:14:05 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/118984935,https://inaturalist-open-data.s3.amazonaws.com/photos/201095139/medium.jpeg,,"",Hoyt Accession # 10,1,0,false,2,"Multnomah County, US-OR, US",45.51687512,-122.71786771,7,,,,7,,open,false,,,Portland,Multnomah,Oregon,United States,Oregon,Multnomah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,Not Sure,"Healthy, no dieback(0%)",,0,10,"Yes (please elaborate in Notes, add Picture if possible)",No selection,Large (too big to wrap arms around trunk),Rural,Forest edge,"Medium (moderately used trails, etc)",Upland or well drained,Other (please describe in Notes),Middle of a slope,No,No selection,15,Yes,,"some reddish needles, especially lower branches.  access to culvert."
118985019,2022-05-27 13:57:42,2022-05-27,2022-05-27 20:57:42 UTC,Pacific Time (US & Canada),4300487,d_farmer,,2022-05-27 23:10:35 UTC,2022-10-16 20:04:44 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/118985019,https://inaturalist-open-data.s3.amazonaws.com/photos/201095376/medium.jpeg,,"",Hoyt Accession #11,0,0,true,2,"Multnomah County, US-OR, US",45.51707434,-122.71802904,4,,,,4,,open,false,,,Portland,Multnomah,Oregon,United States,Oregon,Multnomah,thuja plicata,Thuja plicata,western redcedar,Plantae,48252,Healthy,No,"Healthy, no dieback(0%)",0,0,0,Not sure,No selection,Large (too big to wrap arms around trunk),Rural,Urban yard or open park grounds,"Medium (moderately used trails, etc)",Upland or well drained,Tree does not typically have access to water in summer,Middle of a slope,No selection,No selection,5,Yes,,"lower branches were without needles due to heavy shade.  looked very healthy otherwise.  observed in May 2022, but recording on iNaturalist failed and was reinput in October 2022"
118997104,2022-05-27 13:48:14,2022-05-27,2022-05-27 20:48:14 UTC,America/Vancouver,2823934,outdoorobserver,Radu Scurtescu,2022-05-28 01:02:15 UTC,2022-05-28 01:07:48 UTC,research,,https://www.inaturalist.org/observations/118997104,https://static.inaturalist.org/photos/201117404/medium.jpeg,,"",,1,0,false,2,"Greater Vancouver, CA-BC, CA",49.2392736997,-122.9498897997,,,,,,,open,false,gps,gps,,Greater Vancouver,British Columbia,Canada,British Columbia,Greater Vancouver,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Thinning Canopy,No selection,1-29% of the canopy is unhealthy,,1,0,Not sure,"Fungal Activitiy (mycelial fans, bleeding cankers, mushrooms at base, or conks on trunk)",Medium (can wrap arms around trunk),Rural,Inside a forest canopy,"None - natural forest, far from development","Wetland, lots of water",Tree has access to water year round (watered in summer or near permanent water source),Area is flat (e.g. field),Not sure,No selection,10,No preference,,""
119009416,2022-05-27 18:13:36,2022-05-27,2022-05-28 01:13:36 UTC,Pacific Time (US & Canada),2785976,alexis_mushroom,Alexis Evans,2022-05-28 03:09:38 UTC,2022-06-02 09:21:18 UTC,research,,https://www.inaturalist.org/observations/119009416,https://static.inaturalist.org/photos/201140345/medium.jpeg,,"",,1,0,false,2,"SE Cesar Chavez Blvd & Gladstone, Portland, OR 97202, USA",45.4938222222,-122.6226833333,,,,,,,open,false,gps,gps,Portland,Multnomah,Oregon,United States,Oregon,Multnomah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,,,,Urban yard or open park grounds,,,,,,,,,,
119011113,2022-05-27 14:40:52,2022-05-27,2022-05-27 21:40:52 UTC,Pacific Time (US & Canada),2785976,alexis_mushroom,Alexis Evans,2022-05-28 03:29:00 UTC,2022-06-02 09:15:38 UTC,research,,https://www.inaturalist.org/observations/119011113,https://static.inaturalist.org/photos/201143515/medium.jpeg,,"",,1,0,false,2,"Portland, OR 97210, USA",45.5237444444,-122.7407666667,,,,,,,open,false,gps,gps,,Multnomah,Oregon,United States,Oregon,Multnomah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No,"Healthy, no dieback(0%)",,0,,No,,Large (too big to wrap arms around trunk),,Inside a forest canopy,,,,,,,,,,
119011664,2022-05-27 14:20:01,2022-05-27,2022-05-27 21:20:01 UTC,Pacific Time (US & Canada),2785976,alexis_mushroom,Alexis Evans,2022-05-28 03:37:01 UTC,2022-06-02 09:15:29 UTC,research,,https://www.inaturalist.org/observations/119011664,https://static.inaturalist.org/photos/201144509/medium.jpeg,,"",,1,0,false,2,"Portland, OR 97210, USA",45.5237444444,-122.7407666667,,,,,,,open,false,gps,gps,,Multnomah,Oregon,United States,Oregon,Multnomah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No selection,"Healthy, no dieback(0%)",,0,,Not sure,,Small (can wrap hands around trunk),,,,,,,,,,,,
119012081,2022-05-27 14:06:10,2022-05-27,2022-05-27 21:06:10 UTC,Pacific Time (US & Canada),2785976,alexis_mushroom,Alexis Evans,2022-05-28 03:44:32 UTC,2022-06-02 09:15:26 UTC,research,,https://www.inaturalist.org/observations/119012081,https://static.inaturalist.org/photos/201145548/medium.jpeg,,"",,1,0,false,2,"Portland, OR 97210, USA",45.5237444444,-122.7407666667,,,,,,,open,false,gps,gps,,Multnomah,Oregon,United States,Oregon,Multnomah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,No,,Medium (can wrap arms around trunk),,Inside a forest canopy,,,,,,,,,,
119012894,2022-05-27 13:56:02,2022-05-27,2022-05-27 20:56:02 UTC,Pacific Time (US & Canada),2785976,alexis_mushroom,Alexis Evans,2022-05-28 03:55:13 UTC,2022-06-02 09:15:23 UTC,research,,https://www.inaturalist.org/observations/119012894,https://static.inaturalist.org/photos/201146984/medium.jpeg,,"",,1,0,false,2,"Portland, OR 97210, USA",45.5275583333,-122.7310972222,,,,,,,open,false,gps,gps,Portland,Multnomah,Oregon,United States,Oregon,Multnomah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No,"Healthy, no dieback(0%)",,0,,No,,Small (can wrap hands around trunk),,Inside a forest canopy,,,,,,,,,,
119013147,2022-05-27 13:40:39,2022-05-27,2022-05-27 20:40:39 UTC,Pacific Time (US & Canada),2785976,alexis_mushroom,Alexis Evans,2022-05-28 03:59:22 UTC,2022-06-02 09:15:16 UTC,research,,https://www.inaturalist.org/observations/119013147,https://static.inaturalist.org/photos/201147649/medium.jpeg,,"",,1,0,false,2,"Portland, OR 97210, USA",45.5271805556,-122.7298527778,,,,,,,open,false,gps,gps,Portland,Multnomah,Oregon,United States,Oregon,Multnomah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No,"Healthy, no dieback(0%)",,0,,No,,Medium (can wrap arms around trunk),Suburban,Inside a forest canopy,No Selection,,,,,,,,,"Nearby trees have insect holes, but not this one. Most of the insect holes are doug fir, but they all look healthy"
119065165,2022-05-27 16:29:11-07:00,2022-05-27,2022-05-27 23:29:11 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2022-05-28 14:42:58 UTC,2022-05-28 15:24:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/119065165,https://inaturalist-open-data.s3.amazonaws.com/photos/201237519/medium.jpg,,"","",1,0,false,3,"University of Washington, Seattle, WA, US",47.6511033333,-122.3079,13,,,,13,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Browning Canopy,No selection,30-59% of the canopy is unhealthy,,0,"",Not sure,No selection,Medium (can wrap arms around trunk),Urban,Roadside,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Upland or well drained,Tree does not typically have access to water in summer,Area is flat (e.g. field),No,Not sure,10,No Selection,,Top had died and was cut in 2017 or 2018
